TradeTime,InstrumentID,Price,Volume,BidApplSeqNum,OfferApplSeqNum
09:30:15.290,600029,6.83,400,333180,367471
09:30:15.290,600029,6.83,200,333180,367521
09:30:15.470,600029,6.84,300,368901,355228
09:30:15.930,600029,6.83,1900,345257,372698
09:30:15.930,600029,6.83,1100,350352,372698
09:30:16.410,600029,6.83,16,350352,374712
09:30:17.820,600029,6.84,2500,378875,355228
09:30:17.920,600029,6.83,584,350352,379129
09:30:17.920,600029,6.83,1716,350353,379129
09:30:17.950,600029,6.83,384,350353,379222
09:30:17.950,600029,6.83,16,351835,379222
09:30:17.950,600029,6.83,1100,351835,379223
09:30:17.950,600029,6.83,684,351835,379225
09:30:17.950,600029,6.83,1600,351836,379225
09:30:17.950,600029,6.83,400,354234,379225
09:30:17.950,600029,6.83,716,355868,379225
09:30:18.280,600029,6.83,200,355868,380816
09:30:18.280,600029,6.83,600,355868,380969
09:30:18.400,600029,6.83,200,355868,381892
09:30:18.700,600029,6.83,3800,355868,383734
09:30:19.010,600029,6.83,3500,355868,385336
09:30:19.960,600029,6.83,200,355868,387357
09:30:20.980,600029,6.83,3700,355868,389047
09:30:21.240,600029,6.83,400,355868,390241
09:30:21.270,600029,6.83,3500,355868,390534
09:30:21.310,600029,6.83,1600,355868,390577
09:30:21.310,600029,6.83,284,355868,390578
09:30:21.310,600029,6.83,200,359911,390578
09:30:21.310,600029,6.83,716,360578,390578
09:30:21.310,600029,6.83,2484,360578,390579
09:30:21.310,600029,6.83,1016,361203,390579
09:30:21.310,600029,6.83,300,361203,390703
09:30:21.350,600029,6.83,17,361203,390766
09:30:21.350,600029,6.83,200,361203,390904
09:30:21.380,600029,6.83,267,361203,391076
09:30:21.380,600029,6.83,2000,369631,391076
09:30:21.380,600029,6.83,1800,373920,391076
09:30:21.380,600029,6.83,8933,374034,391076
09:30:21.380,600029,6.83,2967,374034,391089
09:30:21.380,600029,6.83,2300,377367,391089
09:30:21.630,600029,6.83,100,392612,391089
09:30:21.810,600029,6.83,33,393415,391089
09:30:21.810,600029,6.83,1267,393415,391090
09:30:22.530,600029,6.83,3000,394995,391090
09:30:22.590,600029,6.83,233,395056,391090
09:30:22.590,600029,6.83,2800,395056,392732
09:30:22.590,600029,6.83,600,395056,392733
09:30:22.590,600029,6.83,1300,395056,392735
09:30:22.590,600029,6.83,1767,395056,393066
09:30:23.740,600029,6.83,5733,396583,393066
09:30:23.740,600029,6.83,700,396583,393591
09:30:23.740,600029,6.83,2900,396583,394148
09:30:23.740,600029,6.83,400,396583,394149
09:30:23.740,600029,6.83,2600,396583,394150
09:30:23.740,600029,6.83,1500,396583,394155
09:30:24.150,600029,6.83,267,396583,397978
09:30:24.190,600029,6.83,100,398259,397978
09:30:24.190,600029,6.83,100,398260,397978
09:30:24.190,600029,6.83,100,398261,397978
09:30:24.220,600029,6.83,2000,398448,397978
09:30:24.260,600029,6.83,100,398527,397978
09:30:24.260,600029,6.83,100,398614,397978
09:30:24.260,600029,6.83,100,398620,397978
09:30:24.300,600029,6.83,100,398826,397978
09:30:24.300,600029,6.83,100,398827,397978
09:30:24.570,600029,6.83,100,400254,397978
09:30:24.740,600029,6.83,100,401217,397978
09:30:24.740,600029,6.83,100,401218,397978
09:30:25.070,600029,6.83,100,402302,397978
09:30:25.070,600029,6.83,100,402305,397978
09:30:25.100,600029,6.83,100,402375,397978
09:30:25.140,600029,6.83,100,402479,397978
09:30:25.140,600029,6.83,100,402480,397978
09:30:25.170,600029,6.83,100,402664,397978
09:30:25.170,600029,6.83,100,402666,397978
09:30:26.380,600029,6.82,1900,325593,404840
09:30:27.100,600029,6.82,8500,325593,406579
09:30:27.100,600029,6.82,500,396836,406579
09:30:27.860,600029,6.82,100,409836,406579
09:30:28.610,600029,6.82,1100,411480,406579
09:30:29.910,600029,6.82,900,413680,406579
09:30:30.090,600029,6.81,4000,316162,413964
09:30:30.090,600029,6.81,500,324698,413964
09:30:30.090,600029,6.81,400,324698,414025
09:30:30.090,600029,6.81,200,324698,414060
09:30:30.090,600029,6.81,200,324698,414067
09:30:30.160,600029,6.81,100,324698,414397
09:30:30.320,600029,6.81,600,324698,414959
09:30:30.320,600029,6.81,800,324698,414997
09:30:30.470,600029,6.81,8200,324698,416028
09:30:30.470,600029,6.81,13900,337484,416028
09:30:30.470,600029,6.81,800,357872,416028
09:30:30.470,600029,6.81,3000,401630,416028
09:30:30.470,600029,6.81,100,413865,416028
09:30:30.470,600029,6.81,100,413890,416028
09:30:30.470,600029,6.81,100,413891,416028
09:30:30.470,600029,6.81,100,413985,416028
09:30:30.470,600029,6.81,100,414054,416028
09:30:30.470,600029,6.81,100,414070,416028
09:30:30.470,600029,6.81,100,414284,416028
09:30:30.620,600029,6.81,500,416848,416028
09:30:31.290,600029,6.82,100,418595,406579
09:30:32.890,600029,6.8,1800,155379,421266
09:30:32.890,600029,6.8,1000,217522,421266
09:30:32.890,600029,6.8,4100,254538,421266
09:30:32.890,600029,6.8,2100,289475,421266
09:30:32.890,600029,6.8,2600,290634,421266
09:30:32.890,600029,6.8,1900,291318,421266
09:30:32.890,600029,6.8,900,294917,421266
09:30:32.890,600029,6.8,1100,295751,421266
09:30:32.890,600029,6.8,2000,295752,421266
09:30:32.890,600029,6.8,2200,303239,421266
09:30:32.890,600029,6.8,2300,312669,421266
09:30:32.890,600029,6.8,2400,314935,421266
09:30:32.890,600029,6.8,1300,318438,421266
09:30:32.890,600029,6.8,2700,318442,421266
09:30:32.890,600029,6.8,1300,322411,421266
09:30:32.890,600029,6.8,1900,322441,421266
09:30:32.890,600029,6.8,13900,338698,421266
09:30:32.890,600029,6.8,500,343387,421266
09:30:32.890,600029,6.8,1300,343618,421266
09:30:33.120,600029,6.8,100,421786,421266
09:30:33.120,600029,6.8,1300,421931,421266
09:30:35.120,600029,6.8,2000,427142,421266
09:30:35.140,600029,6.8,1900,427190,421266
09:30:35.360,600029,6.8,2100,427548,421266
09:30:35.570,600029,6.8,1800,427802,421266
09:30:35.760,600029,6.8,1700,428343,421266
09:30:36.050,600029,6.8,100,429288,421266
09:30:36.110,600029,6.8,2400,429448,421266
09:30:36.110,600029,6.79,400,148159,429529
09:30:36.110,600029,6.79,100,148159,429546
09:30:36.110,600029,6.79,400,427039,429546
09:30:36.110,600029,6.79,100,429203,429546
09:30:36.110,600029,6.79,100,429204,429546
09:30:36.110,600029,6.79,100,429349,429546
09:30:36.110,600029,6.79,100,429378,429546
09:30:36.110,600029,6.79,100,429498,429566
09:30:36.700,600029,6.79,100,432221,429566
09:30:37.740,600029,6.79,100,434480,429566
09:30:37.740,600029,6.79,300,434480,429567
09:30:37.740,600029,6.79,200,434480,429570
09:30:37.740,600029,6.79,100,434480,429575
09:30:38.630,600029,6.78,1200,58412,435758
09:30:39.100,600029,6.79,100,437147,429576
09:30:39.100,600029,6.79,500,437147,429578
09:30:39.100,600029,6.79,200,437147,429595
09:30:39.100,600029,6.79,300,437169,429706
09:30:39.290,600029,6.79,500,438140,429706
09:30:39.290,600029,6.79,300,438140,429783
09:30:39.390,600029,6.79,1500,438653,429783
09:30:39.730,600029,6.79,700,439793,429783
09:30:39.730,600029,6.79,17,439793,430760
09:30:39.730,600029,6.79,83,439793,437566
09:30:40.330,600029,6.79,800,441096,437566
09:30:40.780,600029,6.79,800,441767,437566
09:30:41.290,600029,6.79,800,442586,437566
09:30:41.410,600029,6.78,34,58412,442746
09:30:41.840,600029,6.79,800,443980,437566
09:30:43.140,600029,6.79,200,448250,437566
09:30:44.430,600029,6.79,100,450043,437566
09:30:44.990,600029,6.79,2900,451756,437566
09:30:44.990,600029,6.78,300,58412,451765
09:30:44.990,600029,6.79,2000,451782,437566
09:30:44.990,600029,6.78,400,58412,451810
09:30:44.990,600029,6.79,2000,451946,437566
09:30:44.990,600029,6.78,200,58412,451961
09:30:45.170,600029,6.79,2700,452499,437566
09:30:45.500,600029,6.79,2300,453709,437566
09:30:45.850,600029,6.79,1400,454848,437566
09:30:46.350,600029,6.78,16,58412,455580
09:30:47.670,600029,6.79,9417,457712,437566
09:30:47.670,600029,6.79,12583,457712,437806
09:30:47.920,600029,6.79,1800,458407,437806
09:30:48.010,600029,6.79,100,458538,437806
09:30:48.010,600029,6.79,1000,458680,437806
09:30:48.520,600029,6.79,100,460358,437806
09:30:51.020,600029,6.79,300,465237,437806
09:30:51.090,600029,6.79,4900,465489,437806
09:30:51.180,600029,6.78,33,58412,465762
09:30:51.450,600029,6.79,3217,466588,437806
09:30:51.450,600029,6.79,100,466588,445099
09:30:51.450,600029,6.79,200,466588,447826
09:30:51.450,600029,6.79,1383,466588,454864
09:30:51.860,600029,6.79,4900,467737,454864
09:30:52.430,600029,6.78,500,58412,468541
09:30:52.430,600029,6.79,4900,468565,454864
09:30:52.900,600029,6.79,4900,469256,454864
09:30:53.180,600029,6.78,100,58412,469524
09:30:53.180,600029,6.78,100,58412,469527
09:30:53.230,600029,6.78,100,58412,469600
09:30:53.230,600029,6.78,100,58412,469601
09:30:53.380,600029,6.79,17,469824,454864
09:30:53.380,600029,6.79,3183,469824,469214
09:30:54.150,600029,6.78,200,58412,471989
09:30:56.460,600029,6.78,17,58412,475983
09:30:56.580,600029,6.79,200,476361,469214
09:30:58.210,600029,6.78,700,58412,480331
09:30:58.210,600029,6.78,500,150434,480331
09:30:58.210,600029,6.78,2600,444706,480331
09:30:58.210,600029,6.78,500,458788,480331
09:31:00.540,600029,6.79,200,485702,469214
09:31:02.530,600029,6.79,600,489989,469214
09:31:02.530,600029,6.79,317,489996,469214
09:31:02.530,600029,6.79,83,489996,472453
09:31:02.650,600029,6.79,117,490570,472453
09:31:02.650,600029,6.79,700,490570,477060
09:31:02.650,600029,6.79,283,490570,483619
09:31:03.100,600029,6.79,100,492433,483619
09:31:03.130,600029,6.79,600,492710,483619
09:31:03.270,600029,6.79,600,493603,483619
09:31:04.370,600029,6.79,317,496763,483619
09:31:04.370,600029,6.79,400,496763,483621
09:31:04.370,600029,6.79,83,496763,483802
09:31:05.120,600029,6.79,417,498044,483802
09:31:05.120,600029,6.79,300,498044,483803
09:31:05.120,600029,6.79,83,498044,483804
09:31:05.230,600029,6.79,217,498328,483804
09:31:05.230,600029,6.79,400,498328,483805
09:31:05.230,600029,6.79,183,498328,483861
09:31:09.560,600029,6.79,817,510398,483861
09:31:09.560,600029,6.79,283,510398,483918
09:31:09.560,600029,6.79,217,510429,483918
09:31:09.560,600029,6.79,283,510429,484080
09:31:12.250,600029,6.78,500,458788,516302
09:31:12.360,600029,6.79,217,516695,484080
09:31:12.360,600029,6.79,400,516695,484284
09:31:12.360,600029,6.79,300,516695,484286
09:31:12.360,600029,6.79,183,516695,484324
09:31:12.630,600029,6.79,200,517551,484324
09:31:12.630,600029,6.79,117,517552,484324
09:31:12.630,600029,6.79,83,517552,484325
